AD Link,Price,Car Name,Year,KM Run,Fuel Type,Location,Date,image_url
/ad/mazda-3-model-2016-ID115256189.html,"USD 11,500",Mazda 3 model 2016 ( 0 accident ),2016,75000 km,Benzine,"Zouk Mosbeh, Keserouan•",0 minutes ago,https://images.dubizzle.com.lb/thumbnails/8680830-400x300.jpeg
/ad/porsche-macan-2017-gts-ID116275731.html,"USD 42,500",Porsche Macan 2017 gts,2017,85000 km,Benzine,"Zouk Mikael, Keserouan•",1 minute ago,https://images.dubizzle.com.lb/thumbnails/13547823-400x300.jpeg
/ad/mazda-cx-5-2018-ID116080008.html,"USD 23,500",Mazda CX-5 2018,2018,100000 km,Benzine,"Zouk Mosbeh, Keserouan•",2 minutes ago,https://images.dubizzle.com.lb/thumbnails/12569058-400x300.jpeg
/ad/porsche-macan-2016-car-for-sale-ID116030039.html,"USD 34,500",Porsche Macan 2016 Car for Sale,2016,80000 km,Benzine,"Zouk Mosbeh, Keserouan•",2 minutes ago,https://images.dubizzle.com.lb/thumbnails/12316085-400x300.jpeg
/ad/mercedes-benz-c-class-2017-car-for-sale-ID116024132.html,"USD 27,000",Mercedes-Benz C-Class 2017 Car for Sale,2017,90000 km,Benzine,"Zouk Mosbeh, Keserouan•",3 minutes ago,https://images.dubizzle.com.lb/thumbnails/12287883-400x300.jpeg
/ad/mercedes-benz-cla-class-2017-car-for-sale-ID115989346.html,"USD 19,800",Mercedes-Benz CLA-Class 2017 amg package,2017,75000 km,Benzine,"Zouk Mosbeh, Keserouan•",2 minutes ago,https://images.dubizzle.com.lb/thumbnails/12118801-400x300.jpeg
/ad/land-rover-hst-sport-2016-car-for-sale-ID115988929.html,"USD 36,500",Land Rover  HST Sport 2016 Car for Sale,2016,95000 km,Benzine,"Zouk Mosbeh, Keserouan•",1 minute ago,https://images.dubizzle.com.lb/thumbnails/12117025-400x300.jpeg
/ad/land-rover-range-rover-sport-2015-car-for-sale-ID115967193.html,"USD 38,500",Land Rover Range Rover Sport 8 cylinders,2015,85000 km,Benzine,"Zouk Mosbeh, Keserouan•",1 minute ago,https://images.dubizzle.com.lb/thumbnails/12007942-400x300.jpeg
/ad/grand-cherokee-limited-2017-car-for-sale-ID115715321.html,"USD 24,000",Grand Cherokee Limited 2017 Car (0 accident ),2017,75000 km,Benzine,"Zouk Mosbeh, Keserouan•",2 minutes ago,https://images.dubizzle.com.lb/thumbnails/13049880-400x300.jpeg
/ad/toyota-avanza-2007-2007-ID116360228.html,USD 550,Toyota Avanza 2007 2007,2007,982000 km,Benzine,"Msaytbeh, Beirut•",5 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986975-400x300.jpeg
/ad/volkswagen-golf-2005-ID116360223.html,"USD 1,550",Volkswagen Golf 2005,2005,200000 km,Benzine,"Sin El Fil, Metn•",6 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986961-400x300.jpeg
/ad/bmw-x3-2007-%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D8%A7%D9%86%D9%82%D8%A7%D8%B6-%D9%88-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D9%81%D9%88%D8%B1%D9%8A-ID116360222.html,"USD 5,600",BMW X3 2007 مطلوب انقاض و تسجيل فوري,2007,247000 km,Benzine,"Mar Elias, Beirut•",7 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986954-400x300.jpeg
/ad/dodge-durango-2015-ID116360212.html,"USD 18,000",Dodge durango 2015 look 2021 srt,2015,100000 km,Benzine,"Baalbeck Town, Baalbeck•",12 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986898-400x300.jpeg
/ad/nissan-pathfinder-2000-4x4-ID116360210.html,"USD 4,200",Nissan Pathfinder 2000 4x4,2000,150 km,Benzine,"Saida Downtown, Saida•",14 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986881-400x300.jpeg
/ad/jeep-grand-cherokee-2017-ID116028086.html,"USD 19,900",Jeep Grand Cherokee Limited 2017 AWD,2017,104000 km,Benzine,"Other in Saida, Saida•",15 minutes ago,https://images.dubizzle.com.lb/thumbnails/12306228-400x300.jpeg
/ad/audi-q7-2009-ID116360201.html,"USD 8,000",Audi Q7 2009,2009,123000 km,Benzine,"Aaraiya, Baabda•",18 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986837-400x300.jpeg
/ad/nissan-versa-2014-ID116140273.html,"USD 7,500",Nissan Versa 2014,2014,90000 km,Benzine,"Baouchriye, Metn•",17 minutes ago,https://images.dubizzle.com.lb/thumbnails/12873833-400x300.jpeg
/ad/audi-a4-2014-ID116360194.html,"USD 9,700",Audi A4 2014,2014,159000 km,Benzine,"Baabdat, Metn•",21 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986809-400x300.jpeg
/ad/porsche-cayenne-2011-ID116360180.html,"USD 16,500",Porsche Cayenne 2011,2011,172000 km,Benzine,"Zgharta Town, Zgharta•",25 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986738-400x300.jpeg
/ad/kia-rio-2013-ID116360148.html,"USD 8,000",Kia Rio 2013,2013,10000 km,Diesel,"Haoush el Oumara, Zahle•",41 minutes ago,https://images.dubizzle.com.lb/thumbnails/13986580-400x300.jpeg
/ad/bentley-bentayga-2017-one-owner-full-service-in-company-ID116358357.html,"USD 119,000",Bentley Bentayga 2017 / one owner full service in company,2017,73000 km,Benzine,"Sodeco, Beirut•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/13977367-400x300.jpeg
/ad/porsche-cayenne-2008-ID116355507.html,"USD 8,500",Porsche Cayenne 2008,2008,90000 km,Benzine,"Dbaye, Metn•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/13961940-400x300.jpeg
/ad/honda-cr-v-2019-ID116350387.html,"USD 20,000",Honda CR-V 2019,2019,75000 km,Benzine,"Al Qalamoun, Tripoli•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/13936909-400x300.jpeg
/ad/avatr-avatr-12-2023-ID116337594.html,"USD 55,000",Avatr Avatr 12 2023,2023,New,Electric,"Bouar, Keserouan•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/13870207-400x300.jpeg
/ad/land-rover-range-rover-sport-2017-ID116330127.html,"USD 45,000",Land Rover Range Rover Sport 2017,2017,14000 km,Benzine,"Beiteddine, Chouf•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/13831277-400x300.jpeg
/ad/mercedes-benz-c300-2016-50k-miles-only-ID116328958.html,,"USD 23,500",201654000 kmBenzine,2016,54000 km,Benzine,"Downtown, Beirut•",https://images.dubizzle.com.lb/thumbnails/13825021-400x300.jpeg
/ad/audi-e-tron-2024-ID116234741.html,"USD 48,000",Audi e-tron 2024,2024,New,Electric,"Bouar, Keserouan•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/13339285-400x300.jpeg
/ad/mercedes-benz-cla-class-2017-ID116218805.html,"USD 16,900",Mercedes-Benz CLA-Class 2017,2017,90000 km,Benzine,"Bechara El Khoury, Beirut•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/13260469-400x300.jpeg
/ad/jeep-wrangler-jk-unlimited-2016-ID116107498.html,"USD 35,000",Jeep Wrangler JK Unlimited 2016,2016,107000 km,Benzine,"Beiteddine, Chouf•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/12709365-400x300.jpeg
/ad/audi-a5-2013-ID116053217.html,"USD 12,000",Audi A5 2013,2013,95000 km,Benzine,"Jal El Dib, Metn•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/12433704-400x300.jpeg
/ad/jeep-wrangler-2014-ID116018368.html,"USD 38,000",Jeep Wrangler 2014,2014,104000 km,Benzine,"Beiteddine, Chouf•",59 minutes ago,https://images.dubizzle.com.lb/thumbnails/13669543-400x300.jpeg
/ad/mercedes-benz-c-class-2009-ID116360112.html,"USD 8,500",Mercedes-Benz C-Class 2009,2009,136000 km,Benzine,"Aaraiya, Baabda•",1 hour ago,https://images.dubizzle.com.lb/thumbnails/13986452-400x300.jpeg
/ad/mercedes-benz-e-350-coupe-class-2014-ID116236187.html,"USD 15,000",Mercedes-Benz E-350 coupe Class 2014,2014,100000 km,Benzine,"Burj Abi Haidar, Beirut•",1 hour ago,https://images.dubizzle.com.lb/thumbnails/13346721-400x300.jpeg
/ad/mercedes-benz-c-class-2011-ID116360097.html,"USD 10,000",Mercedes-Benz C-Class 2011,2011,100000 km,Benzine,"Sin El Fil, Metn•",1 hour ago,https://images.dubizzle.com.lb/thumbnails/13986338-400x300.jpeg
/ad/mercedes-benz-c-class-2018-ID116360091.html,"USD 27,500",Mercedes-Benz C-Class 2018 AMG 43,2018,112000 km,Benzine,"Dekwaneh, Metn•",1 hour ago,https://images.dubizzle.com.lb/thumbnails/13986298-400x300.jpeg
/ad/nissan-murano-2004-ID116136239.html,,"USD 4,500",2004130000 kmBenzine,2004,130000 km,Benzine,"Jal El Dib, Metn•",https://images.dubizzle.com.lb/thumbnails/12854162-400x300.jpeg
/ad/only-cla45-s-in-leb-2023-4matic-17000-km-ID116212634.html,"USD 75,000","Only CLA45 s in LEB 2023 4Matic+ 17,000 km",2023,17000 km,Benzine,"Jdaide, Metn•",1 hour ago,https://images.dubizzle.com.lb/thumbnails/13228488-400x300.jpeg
/ad/chevrolet-aveo-2011-ID116247085.html,"USD 4,000",Chevrolet Aveo 2011,2011,160000 km,Benzine,"Qennabet Broummana, Metn•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13401762-400x300.jpeg
/ad/jaguar-xe-2017-ID116360047.html,"USD 22,500",Jaguar XE 2017,2017,37000 km,Benzine,"Saifi, Beirut•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13986045-400x300.jpeg
/ad/nissan-pathfinder-2005-ID116360038.html,"USD 5,300",Nissan Pathfinder 2005,2005,131233 km,Benzine,"Bhamdoun, Aley•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13986032-400x300.jpeg
/ad/jeep-grand-cherokee-2015-ID116355723.html,"USD 15,900",Jeep Grand Cherokee 2015,2015,New,Benzine,"Other in Baalbeck, Baalbeck•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13963246-400x300.jpeg
/ad/ford-f150-lariat-ID116359038.html,"USD 50,000",Ford F150 Lariat,2019,New,Benzine,"Jezzine Town, Jezzine•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13981426-400x300.jpeg
/ad/toyota-corolla-2018-ID116360003.html,,"USD 15,500",201869000 kmBenzine,2018,69000 km,Benzine,"Hazmiyeh, Baabda•",https://images.dubizzle.com.lb/thumbnails/13985793-400x300.jpeg
/ad/land-rover-defender-2020-hse-7-seater-ID116358243.html,"USD 96,000",Land Rover Defender 2020 HSE ( 7 Seater ),2020,46000 km,Benzine,"Kaslik, Keserouan•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13976565-400x300.jpeg
/ad/mercedes-benz-a-class-2013-ID116356140.html,"USD 13,800",Mercedes-Benz A-Class 2013,2013,100000 km,Benzine,"Al Qalamoun, Tripoli•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13965082-400x300.jpeg
/ad/mercedes-benz-c3002015-ID116355456.html,"USD 17,200",Mercedes-Benz C300/2015,2015,68000 km,Benzine,"Saida Downtown, Saida•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13961678-400x300.jpeg
/ad/jeep-grand-cherokee-limited-2015-ID116355449.html,"USD 16,900",Jeep Grand Cherokee limited 2015,2015,78000 km,Benzine,"Saida Downtown, Saida•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13961625-400x300.jpeg
/ad/porsche-panamera-turbo-ID116325836.html,"USD 19,900",Porsche Panamera turbo,2010,2010 km,Benzine,"Adma w Dafnah, Keserouan•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13809274-400x300.jpeg
/ad/mercedes-benz-s3502011-ID116307282.html,"USD 17,800",Mercedes-Benz S350/2011,2011,92000 km,Benzine,"Saida Downtown, Saida•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13712921-400x300.jpeg
/ad/2011-audi-a4-18t-blackbeige-leather-comapny-source-1-owner-like-new-ID116302719.html,"USD 7,800",2011 Audi A4 1.8T Black/Beige Leather Comapny Source 1 Owner Like New,2011,139000 km,Benzine,"Achrafieh, Beirut•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13689757-400x300.jpeg
/ad/mercedes-benz-glc-3004matic-2017-ID116286796.html,"USD 26,500",Mercedes-Benz GLC-300/4matic 2017,2017,85000 km,Benzine,"Saida Downtown, Saida•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13608198-400x300.jpeg
/ad/mercedes-benz-c3002018-convertible-ID116284117.html,"USD 31,500",Mercedes-Benz C300/2018 convertible,2018,32000 km,Benzine,"Saida Downtown, Saida•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13592311-400x300.jpeg
/ad/mercedes-benz-cl500-model-2011-ID116280085.html,"USD 27,000",Mercedes-Benz CL500/ model 2011,2011,93000 km,Benzine,"Saida Downtown, Saida•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13568925-400x300.jpeg
/ad/2017-bmw-420-grancoupe-sport-pack-60000-km-company-source-1-owner-ID116268132.html,"USD 19,800",2017 BMW 420 GranCoupe Sport Pack 60000 Km Company Source 1 Owner!,2017,60000 km,Benzine,"Achrafieh, Beirut•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13508788-400x300.jpeg
/ad/infiniti-qx-50-model-2018-grey-in-black-leather-company-source-ID116261850.html,"USD 16,000",Infiniti Qx 50 Model 2018 Grey In Black Leather Company Source,2018,70000 km,Benzine,"Dekwaneh, Metn•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13476195-400x300.jpeg
/ad/gmc-yukon-2018-blackblack-super-clean-ID116250125.html,"USD 35,000",GMC Yukon 2018 Black/Black Super Clean,2018,90000 km,Benzine,"Kaslik, Keserouan•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13416841-400x300.jpeg
/ad/infiniti-qx70-2015-fully-loaded-rymco-low-mileage-ID116239360.html,"USD 23,000",Infiniti QX70 2015 ( Rymco Source & Service ) Low Mileage,2015,98000 km,Benzine,"Kaslik, Keserouan•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13363298-400x300.jpeg
/ad/land-rover-vogue-2018-fully-loaded-ID116238317.html,"USD 58,000",Land Rover Vogue 2018 Fully Loaded,2018,86000 km,Benzine,"Kaslik, Keserouan•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13358591-400x300.jpeg
/ad/2018-toyota-chr-full-awd-greyblack-leather-company-source-bumc-ID116221960.html,"USD 20,800",2018 Toyota CHR FULL AWD Grey/Black Leather Company Source BUMC,2018,82000 km,Benzine,"Achrafieh, Beirut•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13275219-400x300.jpeg
/ad/nissan-sentra-2019-ID116181395.html,"USD 10,300",Nissan Sentra 2019,2019,70 km,Benzine,"Ras Al Nabaa, Beirut•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13076822-400x300.jpeg
/ad/mercedes-benz-gle-450-amg-kit-2016-tgf-ID116082242.html,"USD 47,000",Mercedes-Benz GLE- 450 AMG Kit  2016 ( TGF ),2016,80000 km,Benzine,"Kaslik, Keserouan•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/12580994-400x300.jpeg
/ad/mercedes-benz-g63-amg-fully-loaded-ID116039217.html,"USD 64,000",Mercedes-Benz G63 AMG Fully loaded,2014,100000 km,Benzine,"Kaslik, Keserouan•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/12363012-400x300.jpeg
/ad/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%83%D9%88%D8%B1%D9%88%D9%84%D8%A7-2020-ID116015489.html,"USD 15,500",تويوتا كورولا 2020,2020,145000 km,Benzine,"Maalaqah, Zahle•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/12977995-400x300.jpeg
/ad/jeep-grand-cherokee-2015-ID116340398.html,"USD 16,500",Jeep Grand Cherokee 2015,2015,105000 km,Benzine,"Baouchriye, Metn•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13885496-400x300.jpeg
/ad/land-rover-evoque-2016-ID116282562.html,"USD 19,800",Land Rover Evoque 2016,2016,98000 km,Benzine,"Baouchriye, Metn•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13582825-400x300.jpeg
/ad/jeep-wrangler-2016-ID116140255.html,"USD 28,800",Jeep Wrangler 2016,2016,44000 km,Benzine,"Baouchriye, Metn•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13936163-400x300.jpeg
/ad/jeep-wrangler-2014-ID116018368.html,"USD 38,000",Jeep Wrangler 2014,2014,104000 km,Benzine,"Beiteddine, Chouf•",1 hour ago,https://images.dubizzle.com.lb/thumbnails/13669543-400x300.jpeg
/ad/audi-a3-2003-ID116359985.html,"USD 2,500",Audi A3 2003,2003,270000 km,Benzine,"Beit El Kiko, Metn•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13985738-400x300.jpeg
/ad/bmw-5-series-2011-ID116089206.html,"USD 10,000",BMW 5-Series 2011,2011,100 km,Benzine,"Saida Downtown, Saida•",2 hours ago,https://images.dubizzle.com.lb/thumbnails/13504856-400x300.jpeg
/ad/mercedes-c-300-amg-line-4matic-np-2018-white-on-black-clean-carfax-ID116359970.html,"USD 24,500",Mercedes C 300 AMG-line 4matic NP 2018 white on black (clean carfax),2018,68000 km,Benzine,"Antelias, Metn•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13985644-400x300.jpeg
/ad/hyundai-accent-2014-ID116359948.html,"USD 6,500",Hyundai Accent 2014,2014,211000 km,Benzine,"Aaramoun, Aley•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13985514-400x300.jpeg
/ad/hyundai-creta-2018-ID116349290.html,"USD 12,500",Hyundai Creta 2018 مصدر الشركة,2018,78000 km,Benzine,"Dekwaneh, Metn•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13930852-400x300.jpeg
/ad/land-rover-range-rover-sport-2016-ID116345402.html,"USD 26,999",Land Rover Range Rover Sport 2016 HST  ميرنا الشالوحي آتوستراد,2016,180000 km,Benzine,"Dekwaneh, Metn•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13910249-400x300.jpeg
/ad/audi-a6-2015-ID116338352.html,,"USD 13,000",2015133000 kmBenzine,2015,133000 km,Benzine,"Jnah, Beirut•",https://images.dubizzle.com.lb/thumbnails/13874076-400x300.jpeg
/ad/mercedes-benz-c-class-2017-ID116325159.html,,"USD 23,500",201786000 kmBenzine,2017,86000 km,Benzine,"Aaraiya, Baabda•",https://images.dubizzle.com.lb/thumbnails/13805695-400x300.jpeg
/ad/toyota-fortuner-v6-2017-vxr-new-arrival-ID116312716.html,"USD 36,000",Toyota Fortuner V6 2017 VXR New Arrival,2017,119000 km,Benzine,"Falougha, Baabda•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13741547-400x300.jpeg
/ad/volkswagen-gti-2011-ID116263635.html,"USD 7,500",Volkswagen GTI 2011,2011,99000 km,Benzine,"Jnah, Beirut•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13485380-400x300.jpeg
/ad/mitsubishi-asx-2018-company-source-and-maintenance-ID116243560.html,"USD 17,800",Mitsubishi ASX 2018 company source and maintenance,2018,80000 km,Benzine,"Ras Al Nabaa, Beirut•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13383454-400x300.jpeg
/ad/mini-cooper-s-2016-ID116078150.html,"USD 14,999",MINI Cooper S 2016 سنتر ميرنا الشالوحي the pridge 80 000 kmm,2016,80000 km,Benzine,"Jdaide, Metn•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13600524-400x300.jpeg
/ad/mercedes-benz-cla-class-2018-ID115950057.html,"USD 19,999",Mercedes-Benz CLA 200 -Class 2018 tgf panoramic 80 000 kmm Camera,2018,85000 km,Benzine,"Sin El Fil, Metn•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13861506-400x300.jpeg
/ad/2015-fiat-500-sport-cleancarfax-free-registration-ID116359924.html,"USD 8,500",2015 Fiat 500 Sport CleanCarfax + Free Registration,2014,80000 km,Benzine,"Dekwaneh, Metn•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13985420-400x300.jpeg
/ad/2018-mercedes-glc-300-coupe-4-matic-cleancarfax-ID116359921.html,"USD 46,000",2018 Mercedes GLC 300 Coupe 4 Matic CleanCarfax!!,2018,100000 km,Benzine,"Dekwaneh, Metn•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13985388-400x300.jpeg
/ad/infiniti-fx-series-2012-ID116359917.html,"USD 12,000",Infiniti Fx series 2012,2012,170000 km,Benzine,"Jounieh, Keserouan•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13985372-400x300.jpeg
/ad/land-rover-evoque-2017-ID116277818.html,"USD 19,800",Land Rover Evoque 2017,2017,80000 km,Benzine,"Furn El Chebbak, Baabda•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13558395-400x300.jpeg
/ad/chevrolet-silverado-2006-ID116181450.html,"USD 8,500",Chevrolet Silverado 2006,2006,150 km,Benzine,"Other in Rachaya, Rachaya•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13077102-400x300.jpeg
/ad/mercedes-230-compressor-ID114829259.html,"USD 6,200",mercedes 230 compressor,2005,125000 km,Benzine,"Jnah, Beirut•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/12026030-400x300.jpeg
/ad/glc-coupe-2017-clean-carfax-ID116359883.html,"USD 32,500",GLC- Coupe   2017  clean carfax,2017,138000 km,Benzine,"Hadath, Baabda•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13985231-400x300.jpeg
/ad/porsche911-convertable-ID115820701.html,"USD 32,000",Porsche911 Convertable,2006,113000 km,Benzine,"Achrafieh, Beirut•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/11280880-400x300.jpeg
/ad/ford-focus-2017-eco-boost-ID116359876.html,"USD 8,000",Ford Focus 2017 Eco Boost,2017,98000 km,Benzine,"Verdun, Beirut•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13985212-400x300.jpeg
/ad/bmw-5-series-2011-ID116089206.html,"USD 10,000",BMW 5-Series 2011,2011,100 km,Benzine,"Saida Downtown, Saida•",3 hours ago,https://images.dubizzle.com.lb/thumbnails/13504856-400x300.jpeg
/ad/mercedes-glc-300-4matic-2018-dark-blue-clean-carfax-ID116359869.html,"USD 27,000",Mercedes GLC 300 4matic 2018 dark blue (clean carfax),2018,113000 km,Benzine,"Antelias, Metn•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13985183-400x300.jpeg
/ad/bmw-3-series-2019-ID116356619.html,"USD 34,000",BMW 3-Series 2019,2019,55000 km,Benzine,"Khaldeh, Aley•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13967400-400x300.jpeg
/ad/range-rover-sport-2017-hst-dynamic-clean-car-fax-ID116355206.html,,"USD 35,000",20179999 kmBenzine,2017,9999 km,Benzine,"Sodeco, Beirut•",https://images.dubizzle.com.lb/thumbnails/13966534-400x300.jpeg
/ad/jetour-t2-2024-ID116354171.html,"USD 43,500",Jetour T2 2024,2024,New,Benzine,"Al Bahsas, Tripoli•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13955890-400x300.jpeg
/ad/%D8%A8%D9%8A-%D8%A7%D9%85-%D8%AF%D8%A8%D9%84%D9%8A%D9%88-%D8%A7%D9%84%D9%81%D8%A6%D8%A9-3-2004-ID116352073.html,"USD 5,900",بي ام دبليو الفئة 3 2004,2004,New,Benzine,"Nabatieh Town, Nabatieh•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13945748-400x300.jpeg
/ad/chevrolet-corvette-1971-ID116333289.html,"USD 42,000",Chevrolet Corvette 1971,1971,70000 km,Benzine,"Saifi, Beirut•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13848705-400x300.jpeg
/ad/volkswagen-golf-r-2023-only-13000km-like-new-ID116310751.html,"USD 65,000","Volkswagen Golf R 2023, Only 13.000Km. LIKE NEW",2023,13000 km,Benzine,"Dbaye, Metn•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13731111-400x300.jpeg
/ad/chevrolet-corvette-2017-ID116305000.html,"USD 70,000",Chevrolet Corvette 2017,2017,14000 km,Benzine,"Khaldeh, Aley•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13700523-400x300.jpeg
/ad/mercedes-benz-cla-class-2020-ID116304989.html,"USD 36,000",Mercedes-Benz CLA-Class 2020,2020,71000 km,Benzine,"Khaldeh, Aley•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13700461-400x300.jpeg
/ad/bmw-3-series-2020-ID116301555.html,"USD 36,000",BMW 3-Series 2020,2020,74000 km,Benzine,"Khaldeh, Aley•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13683344-400x300.jpeg
/ad/audi-a6-2016-ID116214227.html,"USD 17,500",Audi A6 2016,2016,43000 km,Benzine,"Khaldeh, Aley•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13236545-400x300.jpeg
/ad/el-sayra-kill-shi-service-bel-sharky-full-bas-vetas-ID115561199.html,"USD 5,000",sayra ebt7ki 3n 7ala,2017,191000 km,Benzine,"Harat Saida, Saida•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/10034750-400x300.jpeg
/ad/mercedes-glc-300-4matic-2017-white-on-black-clean-carfax-ID116359844.html,"USD 27,000",Mercedes GLC 300 4matic 2017 white on black (clean carfax),2017,92000 km,Benzine,"Antelias, Metn•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13985061-400x300.jpeg
/ad/toyota-yaris-2018-ID116359843.html,"USD 13,500",Toyota Yaris 2018,2018,35000 km,Benzine,"Ain Al Mraiseh, Beirut•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13985053-400x300.jpeg
/ad/nissan-patrol-2018-ID116311725.html,"USD 29,500",Nissan Patrol 2018,2018,93000 km,Benzine,"msayleh, Saida•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13736210-400x300.jpeg
/ad/mercedes-benz-c-class-300-2015-ID116359834.html,"USD 21,900",Mercedes-Benz C-Class 300 2015,2015,New,Benzine,"Btouratij, Koura•",4 hours ago,https://images.dubizzle.com.lb/thumbnails/13985011-400x300.jpeg
/ad/mercedes-glc-300-4matic-2017-gray-on-black-clean-carfax-ID116359823.html,"USD 28,000",Mercedes GLC 300 4matic 2017 gray on black (clean carfax),2017,87000 km,Benzine,"Antelias, Metn•",5 hours ago,https://images.dubizzle.com.lb/thumbnails/13984941-400x300.jpeg
/ad/mercedes-c300-4-matic-awd-2018-69-ooomiles-only-ID116339148.html,"USD 23,000",Mercedes C300 4-Matic AWD 2018 [69. ooomiles] Only!!,2018,69000 km,Benzine,"Verdun, Beirut•",5 hours ago,https://images.dubizzle.com.lb/thumbnails/13877975-400x300.jpeg
/ad/cadillac-escalade-sport-2021-28-oookm-original-paint-ID116317913.html,"USD 123,000",Cadillac Escalade Sport 2021 (28. oookm) Original Paint,2021,28000 km,Benzine,"Verdun, Beirut•",5 hours ago,https://images.dubizzle.com.lb/thumbnails/13767038-400x300.jpeg
/ad/land-rover-velar-r-dynamic-p-250-se-2018-ID116307296.html,"USD 43,000",Land Rover Velar R-Dynamic P-250 SE 2018,2018,90000 km,Benzine,"Verdun, Beirut•",5 hours ago,https://images.dubizzle.com.lb/thumbnails/13712965-400x300.jpeg
/ad/jeep-grand-cherokee-4xe-2018-ID116352645.html,,"USD 25,000",2018140000 kmBenzine,2018,140000 km,Benzine,"Toul, Nabatieh•",https://images.dubizzle.com.lb/thumbnails/13948496-400x300.jpeg
